School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,Graduation rate ,Coach YOE,Stadium,Stadium Seats,Win Rate
"University of Maryland, College Park",Big Ten,DJ Durkin,"$2,512,000 ","$2,512,000 ","$625,000 ",$0 ,$0 ,"$5,096,178 ",78,3,Capital One Field at SECU Stadium,54000,42
"University of Massachusetts, Amherst",Independent,Mark Whipple,"$500,000 ","$500,000 ","$305,000 ","$20,000 ",$0 ,"$300,000 ",71,5,McGuirk Alumni Stadium,17000,27
University of Memphis,AAC,Mike Norvell,"$2,600,000 ","$2,600,000 ","$775,000 ","$185,000 ",$0 ,"$7,431,667 ",93,7,Simmons Bank Liberty Stadium,59325,64
University of Miami ,ACC,Mark Richt,"$4,058,061 ","$4,058,061 ",--,--,$0 ,--,83,18,Hard Rock Stadium,65326,73
Miami University (Ohio),Mid-American Conference,Chuck Martin,"$524,826 ","$524,826 ","$582,110 ","$12,669 ",$0 ,"$522,300 ",90,9,Yager Stadium,24286,43
University of Michigan,Big Ten,Jim Harbaugh,"$7,504,000 ","$7,504,000 ","$1,325,000 ","$150,000 ",$0 ,"$17,111,110 ",94,12,Michigan Stadium,107601,69
Michigan State University,Big Ten,Mark Dantonio,"$4,390,417 ","$4,390,417 ","$650,000 ","$125,000 ",$0 ,"$7,000,000 ",78,16,Spartan Stadium,75005,64
Middle Tennessee State University,C-USA,Rick Stockstill,"$801,504 ","$803,004 ","$126,142 ","$65,142 ",$0 ,"$6,633,774 ",95,17,Floyd Stadium,30788,51
"University of Minnesota, Twin Cities",Big Ten,P.J. Fleck,"$3,550,000 ","$3,550,000 ","$900,000 ",$0 ,$0 ,"$9,291,667 ",90,10,Huntington Bank Stadium,50805,60
University of Mississippi,Southeastern Conference,Matt Luke,"$3,000,000 ","$3,000,000 ","$1,550,000 ",--,$0 ,$0 ,82,3,Vaught Hemingway Stadium,64038,42
Mississippi State University,Southeastern Conference,Joe Moorhead,"$2,600,000 ","$2,600,000 ","$1,350,000 ",--,$0 ,$0 ,80,3,Davis Wade Stadium,61337,42
"University of Missouri, Columbia",Southeastern Conference,Barry Odom,"$2,350,000 ","$2,350,000 ","$1,025,000 ","$375,000 ",$0 ,"$1,912,500 ",76,4,Faurot Field at Memorial Stadium,62621,50
US Naval Academy,AAC,Ken Niumatalolo,"$2,163,000 ","$2,163,000 ",--,--,$0 ,--,90,16,Navy-Marine Corps Memorial Stadium,34000,57
"University of Nebraska, Lincoln",Big Ten,Scott Frost,"$5,000,000 ","$5,000,000 ","$950,000 ",--,$0 ,"$25,416,667 ",92,7,Memorial Stadium,90000,48
"University of Nevada, Reno",Mt. West,Jay Norvell,"$500,000 ","$500,000 ","$210,000 ",$0 ,$0 ,"$900,000 ",87,6,Mackay Stadium,30000,51
"University of Nevada, Las Vegas",Mt. West,Tony Sanchez,"$600,000 ","$600,000 ","$260,000 ",$0 ,$0 ,"$950,000 ",79,5,Allegiant Stadium,65000,33
University of New Mexico,Mt. West,Bob Davie,"$822,690 ","$823,740 ","$340,000 ",$0 ,$0 ,"$1,303,294 ",73,13,University Stadium,44760,44
New Mexico State University,Independent,Doug Martin,"$419,640 ","$419,640 ","$220,000 ","$20,000 ",$0 ,"$1,532,790 ",85,16,Aggie Memorial Stadium,28853,30
University of North Carolina Chapel Hill,ACC,Larry Fedora,"$2,575,000 ","$2,575,000 ","$900,000 ","$50,000 ",$0 ,"$12,215,625 ",71,11,Kenan Memorial Stadium,51000,56
North Carolina State University ,ACC,Dave Doeren,"$3,000,000 ","$3,000,000 ","$1,350,000 ","$275,000 ",$0 ,"$6,125,000 ",79,12,Carter-Finley Stadium,57583,62
University of North Texas,C-USA,Seth Littrell,"$1,425,000 ","$1,425,000 ","$580,000 ","$130,000 ",$0 ,"$4,425,000 ",80,7,Apogee Stadium,30850,50
Northern Illinois University,Mid-American Conference,Rod Carey,"$633,460 ","$633,460 ","$205,000 ","$42,500 ",$0 ,"$1,822,918 ",83,10,Huskie Stadium,24000,56
Northwestern University,Big Ten,Pat Fitzgerald,"$3,619,775 ","$3,619,775 ",--,--,$0 ,--,97,17,Ryan Field,47130,52
University of Notre Dame,Independent,Brian Kelly,"$2,129,638 ","$2,129,638 ",--,--,$0 ,--,89,19,Notre Dame Stadium,77622,73
Ohio University,Mid-American Conference,Frank Solich,"$580,331 ","$580,331 ","$333,833 ","$60,772 ",$0 ,"$558,275 ",93,22,Peden Stadium,24000,63
The Ohio State University,Big Ten,Urban Meyer,"$7,600,000 ","$7,600,000 ","$775,000 ","$350,000 ",$0 ,"$38,058,402 ",86,17,Ohio Stadium,104944,85
University of Oklahoma,Big 12,Lincoln Riley,"$4,800,000 ","$4,800,000 ","$700,000 ","$180,000 ",$0 ,"$20,833,333 ",75,6,Gaylord Family - Oklahoma Memorial Stadium,86112,84
Oklahoma State University,Big 12,Mike Gundy,"$5,000,000 ","$5,000,000 ","$900,000 ","$62,500 ",$0 ,"$16,250,000 ",82,18,Boone Pickens Stadium,60000,66
Old Dominion University,C-USA,Bobby Wilder,"$654,667 ","$654,667 ","$504,895 ",$0 ,$0 ,"$1,200,000 ",67,6,S.B. Ballard Stadium,19818,43
University of Oregon,Pac-12,Mario Cristobal,"$2,500,000 ","$2,500,000 ","$1,825,000 ",--,$0 ,"$5,208,333 ",76,12,Autzen Stadium,54000,50
Oregon State University,Pac-12,Jonathan Smith,"$1,900,008 ","$1,900,008 ","$1,275,000 ",--,$0 ,"$4,037,517 ",90,5,Reser Stadium,26407,46
Pennsylvania State University,Big Ten,James Franklin,"$4,800,000 ","$4,800,000 ","$1,000,000 ","$300,000 ",$0 ,"$18,375,000 ",89,12,Beaver Stadium,106572,67
University of Pittsburgh,ACC,Pat Narduzzi,"$3,017,718 ","$3,017,718 ",--,--,$0 ,--,94,8,Acrisure Stadium,68400,60
Purdue University,Big Ten,Jeff Brohm,"$3,800,000 ","$3,800,000 ","$1,290,000 ","$180,000 ",$0 ,"$21,516,667 ",81,9,Ross–Ade Stadium,57236,60
Rice University,C-USA,Mike Bloomgren,--,--,--,--,$0 ,--,93,5,Rice Stadium,70000,29
"Rutgers, The State University of New Jersey, New Brunswick",Big Ten,Chris Ash,"$2,200,000 ","$2,200,000 ","$960,000 ","$50,000 ",$0 ,"$10,350,000 ",75,4,SHI Stadium,52454,20
San Diego State University ,Mt. West,Rocky Long,"$872,576 ","$873,576 ","$720,000 ","$95,000 ",$0 ,"$447,412 ",86,20,Snapdragon Stadium,35000,58
San Jose State University ,Mt. West,Brent Brennan,"$590,424 ","$590,424 ","$210,000 ",$0 ,$0 ,"$1,476,060 ",71,6,CEFCU Stadium,30456,39
University of South Alabama,Sun Belt,Steve Campbell,"$600,000 ","$600,000 ","$295,000 ",--,$0 ,"$918,333 ",80,3,Hancock Whitney Stadium,25450,26
"University of South Carolina, Columbia",Southeastern Conference,Will Muschamp,"$4,200,000 ","$4,200,000 ","$1,400,000 ","$100,000 ",$0 ,"$18,650,000 ",89,9,Williams-Brice Stadium,77559,52
University of South Florida,AAC,Charlie Strong,"$1,000,000 ","$1,000,000 ","$815,000 ","$70,000 ",$0 ,"$192,308 ",77,11,Raymond James Stadium,65890,58
University of Southern California,Pac-12,Clay Helton,"$2,625,965 ","$2,625,965 ",--,--,$0 ,--,79,9,LA Memorial Coliseum,78467,63
Southern Methodist University ,AAC,Sonny Dykes,--,--,--,--,$0 ,--,86,13,Gerald J. Ford Stadium,32000,56
The University of Southern Mississippi,C-USA,Jay Hopson,"$500,000 ","$500,000 ","$870,000 ","$15,000 ",$0 ,"$1,583,333 ",68,5,M.M. Roberts Stadium,36000,55
Stanford University,Pac-12,David Shaw,"$4,311,543 ","$4,311,543 ",--,--,$0 ,--,94,12,Stanford Stadium,50424,64
Syracuse University ,ACC,Dino Babers,"$2,401,206 ","$2,401,206 ",--,--,$0 ,--,82,9,JMA Wireless Dome,49057,48
"University of Tennessee, Knoxville",Southeastern Conference,Jeremy Pruitt,"$3,846,000 ","$3,846,000 ","$1,200,000 ",--,$0 ,"$11,780,000 ",82,3,Neyland Stadium,102455,46
